update,frames,fps,duration,entropy,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_reward,validation_rate
1,2099200,303.8275571201895,6909,0.11755474291560127,0.09537620299109599,0.9651300495426828,0.07094346676021815,0.9780468750000001,0,0.9780468750000001
2,4198400,305.78557061551203,13787,0.041104509935873314,0.0383908154147609,0.9921370045731706,0.04186645206063986,0.9919921875,0,0.9919921875
3,6297600,306.8569819422885,20642,0.03895897804645867,0.0370618391986482,0.9923842416158536,0.04484863188117742,0.9887109374999996,0,0.9887109374999996
4,8396800,306.8994276419722,27495,0.038123821146877075,0.03641967500400979,0.9924280678353659,0.08083359263837338,0.9820312499999998,0,0.9820312499999998
5,10496000,307.0278418660859,34346,0.037008472850046506,0.03534008486241829,0.9925743140243901,0.04261541496962309,0.9895703124999999,0,0.9895703124999999
