update,frames,fps,duration,train_loss,train_accuracy,train_precision,train_recall,validation_loss,validation_accuracy,validation_precision,validation_recall
61,1171200,6511.807423450278,180,0.4600966195265452,0.7586458333333334,0.680952380952381,0.9708585753081261,,,,
62,1190400,6477.0945912143525,183,0.4591763476530711,0.7601041666666667,0.6851370422639828,0.9617349598582003,,,,
63,1209600,6093.317500265961,186,0.46112408439318336,0.7583333333333331,0.6834644500519519,0.9608722871452421,,,,
64,1228800,6640.654834470639,189,0.461130166053772,0.7583854166666666,0.6833050284279701,0.9635568513119533,,,,
66,1267200,6510.9418856340635,195,0.4599647661050161,0.7584375,0.6824125771378196,0.967201166180758,,,,
67,1286400,6548.64747875813,198,0.4609148859977722,0.7567708333333333,0.6829141241256139,0.9573336115167953,,,,
68,1305600,6564.789204516553,200,0.4592788358529409,0.7602083333333334,0.6864872900252713,0.9598836000831428,,,,
69,1324800,6539.934687253424,203,0.4598793605963389,0.7590104166666667,0.6829573934837093,0.9660098008549682,,,,
71,1363200,6531.925785970284,209,0.4571027537186941,0.7618229166666667,0.6878034207185003,0.9590710268694022,,,,
72,1382400,6426.430110791002,212,0.4584116240342458,0.7589583333333333,0.6823901685186547,0.9674491392801252,,,,
73,1401600,6505.276825895919,215,0.45745085676511127,0.7617708333333333,0.6879114302812687,0.9581162742237966,,,,
74,1420800,6567.872080101144,218,0.459734308719635,0.7590104166666668,0.6841713775662005,0.9602254932665205,,,,
76,1459200,6541.711206488988,224,0.4581332981586456,0.7607812499999999,0.6843316262153938,0.9644351464435147,,,,
77,1478400,6463.606586903197,227,0.455994580189387,0.7614062500000001,0.6865771314090673,0.9628511966701353,,,,
78,1497600,6352.25001021495,230,0.4576542874177297,0.7619270833333333,0.688011304477168,0.9609431806377895,,,,
79,1516800,6042.967296346934,233,0.4561257839202881,0.7624479166666667,0.6877502595283999,0.9636363636363636,,,,
81,1555200,5948.35488994781,239,0.45639761885007224,0.7610937500000001,0.6863724466974802,0.9603629915510588,,,,
82,1574400,6356.536003378338,242,0.45626973112424213,0.76171875,0.6887422185554639,0.9557660283097419,,,,
83,1593600,6625.33619428001,245,0.4565755089124044,0.7619791666666667,0.6858345021037868,0.9673086933888599,,,,
84,1612800,6144.676011872034,249,0.45502849022547404,0.761875,0.6888242315726649,0.958376582935437,,,,
86,1651200,6623.2176279330615,254,0.4550409654776255,0.7623958333333333,0.6889138576779026,0.9574224443056423,,,,
87,1670400,6541.657004131617,257,0.45599480867385866,0.7607291666666669,0.6866872134105089,0.9554439912143081,,,,
88,1689600,6516.028372535866,260,0.4578185260295868,0.7605208333333333,0.6858969593338785,0.9611417856026669,,,,
89,1708800,6513.267881965605,263,0.45505746603012087,0.7628645833333334,0.6895645645645646,0.9564719358533792,,,,
91,1747200,6682.2701350026955,269,0.45473923087120055,0.7615624999999999,0.6891841176912107,0.9545690820251586,,,,
92,1766400,6580.296038256769,272,0.4551125725110372,0.7626562499999999,0.6885797621718645,0.9590625,,,,
93,1785600,6465.645542192239,275,0.45517741243044535,0.7628125,0.6884658454647257,0.9603248984692284,,,,
94,1804800,6591.337661007885,278,0.4548996011416117,0.76234375,0.6883710475048703,0.9578771765196539,,,,
96,1843200,6584.793637895143,284,0.45446988344192507,0.7638541666666666,0.6912817421445256,0.9545312662574134,,,,
97,1862400,6574.786135401804,287,0.4540176351865133,0.7621354166666666,0.688236171164455,0.9599667255901009,,,,
98,1881600,6540.47593464189,290,0.4556141455968221,0.7616145833333332,0.6890046034261565,0.9524306279991654,,,,
99,1900800,6499.3934297164315,293,0.4540054281552633,0.7621874999999999,0.6864419364419364,0.9642261159783062,,,,
